Number ,Example,PP_type,Regular,1attatchment,2attactchment,ambiguity?,Trial,Response,
1,1,Instrumental,Regular,VP,NO,N,1,In the sentence:,"In the sentence ""The surgeon examined the patient with the stethoscope."" what does ""with the stethoscope"" desribe?"
2,1,Instrumental,Regular,VP,NO,N,2,In the sentence:,
3,1,Instrumental,Regular,VP,NO,N,3,The phrase Òwith the stethoscopeÓ is a prepositional phrase that creates a classic example of structural ambiguity.,
4,1,Instrumental,Regular,Ambiguous,VP,Y,4,In the sentence:,
5,1,Instrumental,Regular,Ambiguous,VP,Y,5,In the sentence:,
6,1,Instrumental,Inverse,Ambiguous,NP,Y,1,The phrase Òwith the stethoscopeÓ is a prepositional phrase that creates a classic example of structural ambiguity.,
7,1,Instrumental,Inverse,Ambiguous,VP,Y,2,"The phrase Òwith the stethoscopeÓ is a prepositional phrase, and in this sentence it is structurally ambiguous.",
8,1,Instrumental,Inverse,Ambiguous,VP,Y,3,"The phrase Òwith the stethoscopeÓ is a prepositional phrase, and in this sentence it is structurally ambiguous.",
9,1,Instrumental,Inverse,Ambiguous,VP,Y,4,"The phrase Òwith the stethoscopeÓ is structurally ambiguous in that sentence. It can attach to either the verb phrase or the noun phrase, leading to two possible meanings:",
10,1,Instrumental,Inverse,Ambiguous,VP,Y,5,"The phrase Òwith the stethoscopeÓ is structurally ambiguous in that sentence. It can attach to either the verb phrase or the noun phrase, leading to two possible meanings:",
11,2,Instrumental,Regular,Ambiguous,VP,Y,1,In the sentence:,
12,2,Instrumental,Regular,Ambiguous,VP,Y,2,In the sentence:,
13,2,Instrumental,Regular,Ambiguous,VP,Y,3,In the sentence:,
14,2,Instrumental,Regular,Ambiguous,VP,Y,4,,
15,2,Instrumental,Regular,Ambiguous,VP,Y,5,"""The detective questioned the suspect with the recorder.""",
16,2,Instrumental,Inverse,Ambiguous,VP,Y,1,,
17,2,Instrumental,Inverse,Ambiguous,VP,Y,2,"The phrase ""with the recorder"" is a prepositional phrase, and its role is ambiguousÑit could describe either of two things depending on interpretation:",
